runs.thisRepN,runs.thisTrialN,runs.thisN,runs.thisIndex,oddball_blocks.thisRepN,oddball_blocks.thisTrialN,oddball_blocks.thisN,oddball_blocks.thisIndex,oddball_trials.thisRepN,oddball_trials.thisTrialN,oddball_trials.thisN,oddball_trials.thisIndex,thisRow.t,notes,Oddball_Instruction.started,key_instruct_2.started,Oddball_Instruction.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,Countdown.started,text_countdown.started,Countdown.stopped,Oddball_Trial.started,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,Oddball_Trial.stopped,Oddball_Response.started,Response_Prompt_Oddball.started,key_oddball_response.started,participant,session,date,expName,psychopyVersion,expStart,
0,0,0,0,0,0,0,0,0,0,0,0,62.71632249999675,,0.06018169999879319,0.06907589999900665,59.69264389999444,space,59.62202180000895,None,59.69422510000004,59.708147099998314,62.699414700007765,62.70004949999566,62.71632249999675,64.21800639999856,64.21800639999856,64.71878540000762,64.70279460000165,,,,553207,001,2025-06-26_13h18.37.711,Oddball_EO-EC,2024.1.5,2025-06-26 13h18.41.630991 -0400,
0,0,0,0,0,0,0,0,1,0,1,0,64.71878540000762,,,,,,,,,,,64.70313500000339,64.71878540000762,66.20861329999752,66.20861329999752,66.70872670000244,66.69213769999624,,,,553207,001,2025-06-26_13h18.37.711,Oddball_EO-EC,2024.1.5,2025-06-26 13h18.41.630991 -0400,
0,0,0,0,0,0,0,0,2,0,2,0,66.70872670000244,,,,,,,,,,,66.69238989999576,66.70872670000244,68.20725099999981,68.20725099999981,68.71635529999912,68.70076079999853,,,,553207,001,2025-06-26_13h18.37.711,Oddball_EO-EC,2024.1.5,2025-06-26 13h18.41.630991 -0400,
0,0,0,0,0,0,0,0,3,0,3,0,68.71635529999912,,,,,,,,,,,68.70115039999655,68.71635529999912,70.2169969999959,70.2169969999959,70.71652030000405,70.70008999999845,,,,553207,001,2025-06-26_13h18.37.711,Oddball_EO-EC,2024.1.5,2025-06-26 13h18.41.630991 -0400,
0,0,0,0,0,0,0,0,4,0,4,0,70.71652030000405,,,,,,,,,,,70.70045380000374,70.71652030000405,72.2083527000068,72.2083527000068,72.69969999999739,72.69165200000862,,,,553207,001,2025-06-26_13h18.37.711,Oddball_EO-EC,2024.1.5,2025-06-26 13h18.41.630991 -0400,
0,0,0,0,0,0,0,0,5,0,5,0,72.69969999999739,,,,,,,,,,,72.69192389999807,72.69969999999739,74.20898500000476,74.20898500000476,74.72413460000826,74.70850589999463,,,,553207,001,2025-06-26_13h18.37.711,Oddball_EO-EC,2024.1.5,2025-06-26 13h18.41.630991 -0400,
0,0,0,0,0,0,0,0,6,0,6,0,74.72413460000826,,,,,,,,,,,74.70869749999838,74.72413460000826,76.22611380000308,76.22611380000308,76.74113389999548,76.72476949999691,,,,553207,001,2025-06-26_13h18.37.711,Oddball_EO-EC,2024.1.5,2025-06-26 13h18.41.630991 -0400,
0,0,0,0,0,0,0,0,7,0,7,0,76.74113389999548,,,,,,,,,,,76.72499329999846,76.74113389999548,78.2421522000077,78.2421522000077,78.7576842999988,78.74203380000836,,,,553207,001,2025-06-26_13h18.37.711,Oddball_EO-EC,2024.1.5,2025-06-26 13h18.41.630991 -0400,
0,0,0,0,0,0,0,0,8,0,8,0,78.7576842999988,,,,,,,,,,,78.74226310000813,78.7576842999988,80.25912940000126,80.25912940000126,80.75760399999854,80.74251789999835,,,,553207,001,2025-06-26_13h18.37.711,Oddball_EO-EC,2024.1.5,2025-06-26 13h18.41.630991 -0400,
0,0,0,0,0,0,0,0,9,0,9,0,80.75760399999854,,,,,,,,,,,80.7427325000026,80.75760399999854,82.25913160000346,82.25913160000346,82.75811599999724,82.7427108999982,,,,553207,001,2025-06-26_13h18.37.711,Oddball_EO-EC,2024.1.5,2025-06-26 13h18.41.630991 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.74288370000431,82.75811599999724,82.75811599999724,,,,,,,
